REPORT#,GROWER,ADDRESS,ADDRESS 2,CITY,STATE,ZIP,FARM ,LAYERID,COUNTY,SAMPLE ID,LAST CROP,LIME MONTH,LIME YEAR,LIME IN TONNES,SOIL CLASS,HMA RESULT,VW RESULT,CATION EXCHANGE,BASE SAT.,AC,pH,P,K,Ca,Mg,Mn,Mn Avail Crop1,Mn Avail Crop2,Zn,Zn Avail,Cu,S,SS Result,NN Result,AM Result,Na,Crop 1,LIME CROP1,NIT CROP1,PHO CROP1,POT CROP1,Mg CROP1,S CROP1,Cu CROP1,Zn CROP1,B CROP1,Mn CROP1,Comment Crop1,Note CROP1,Crop 2,LIME CROP2,NIT CROP2,PHO CROP2,POT CROP2,Mg CROP2,Cu CROP2,Zn CROP2,B CROP2,Mn CROP2,Comment Crop2,Note CROP2,Rpt CoverType (Rpt Soil Notes),Narrative,Copy1,Copy2,Copy3,Copy4,Complete Date
SL023898,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,K16,,3,2018,0.3,MIN,0.32,1.37,3.1,86,0.4,6.4,54,96,45,26,53,36,43,42,42,56,22,,,,0.1,"Vegetables, other",0, 80-100,100,30,0,25,0,0,0,0,,6,Sweetpotato,0, 60-90,30,0,0,0,0,0.5,0,,6,,,,,,,2/12/2019
SL023898,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,K17,,3,2018,0.3,MIN,0.22,1.35,3.7,88,0.4,6.5,87,96,48,27,67,43,50,47,47,63,23,,,,0.1,"Vegetables, other",0, 80-100,40,30,0,25,0,0,0,0,,6,Sweetpotato,0, 60-90,0,0,0,0,0,0.5,0,,6,,,,,,,2/12/2019
SL023898,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,K18,,3,2018,0.3,MIN,0.32,1.38,3.9,84,0.6,6.3,75,79,48,26,68,46,53,38,38,67,25,,,,0.1,"Vegetables, other",0, 80-100,60,60,0,25,0,0,0,0,,6,Sweetpotato,0, 60-90,0,0,0,0,0,0.5,0,,6,,,,,,,2/12/2019
SL023898,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,K20,,0,0,0,MIN,0.27,1.35,3,72,0.8,5.8,202,71,45,16,94,66,73,78,78,117,27,,,,0.1,"Vegetables, other",0, 80-100,0,70,0,0,0,0,0,0,,6,Sweetpotato,0, 60-90,0,10,0,0,0,0.5,0,,6,,,,,,,2/12/2019
SL023898,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,K21,,3,2018,0.3,MIN,0.18,1.33,3.3,84,0.5,6.2,95,87,47,23,65,47,54,48,48,51,27,,,,0.1,"Vegetables, other",0, 80-100,30,40,0,0,0,0,0,0,,6,Sweetpotato,0, 60-90,0,0,0,0,0,0.5,0,,6,,,,,,,2/12/2019
SL023898,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,K22,,3,2018,0.3,MIN,0.36,1.41,3.1,86,0.4,6.3,206,53,54,23,103,67,74,82,82,68,25,,,,0.1,"Vegetables, other",0, 80-100,0,110,0,25,0,0,0,0,,6,Sweetpotato,0, 60-90,0,50,0,0,0,0.5,0,,6,,,,,,,2/12/2019
SL023898,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,K23,,0,0,0,MIN,0.36,1.4,2.9,78,0.6,5.8,186,52,50,18,99,69,76,87,87,89,26,,,,0.1,"Vegetables, other",0, 80-100,0,110,0,0,0,0,0,0,,6,Sweetpotato,0, 60-90,0,60,0,0,0,0.5,0,,6,,,,,,,2/12/2019
SL023898,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,K24,,0,0,0,MIN,0.18,1.39,2.5,79,0.5,5.9,128,60,46,21,68,51,58,60,60,80,22,,,,0.1,"Vegetables, other",0, 80-100,0,90,0,25,0,0,0,0,,6,Sweetpotato,0, 60-90,0,30,0,0,0,0.5,0,,6,,,,,,,2/12/2019
SL023898,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,K25,,0,0,0,MIN,0.09,1.3,3.4,75,0.8,5.9,33,102,38,22,39,33,40,33,33,48,22,,,,0.1,"Vegetables, other",0, 80-100,150,20,0,25,0,0,0,0,,6,Sweetpotato,0, 60-90,80,0,0,0,0,0.5,0,,6,,,,,,,2/12/2019
SL023898,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,K26,,0,0,0,MIN,0.92,1.3,6.2,83,1.1,6.1,137,130,51,21,136,90,97,93,93,101,37,,,,0.1,"Vegetables, other",0, 80-100,0,0,0,0,0,0,0,0,,6,Sweetpotato,0, 60-90,0,0,0,0,0,0.5,0,,6,,,,,,,2/12/2019
