REPORT#,GROWER,ADDRESS,ADDRESS 2,CITY,STATE,ZIP,FARM ,LAYERID,COUNTY,SAMPLE ID,LAST CROP,LIME MONTH,LIME YEAR,LIME IN TONNES,SOIL CLASS,HMA RESULT,VW RESULT,CATION EXCHANGE,BASE SAT.,AC,pH,P,K,Ca,Mg,Mn,Mn Avail Crop1,Mn Avail Crop2,Zn,Zn Avail,Cu,S,SS Result,NN Result,AM Result,Na,Crop 1,LIME CROP1,NIT CROP1,PHO CROP1,POT CROP1,Mg CROP1,S CROP1,Cu CROP1,Zn CROP1,B CROP1,Mn CROP1,Comment Crop1,Note CROP1,Crop 2,LIME CROP2,NIT CROP2,PHO CROP2,POT CROP2,Mg CROP2,Cu CROP2,Zn CROP2,B CROP2,Mn CROP2,Comment Crop2,Note CROP2,Rpt CoverType (Rpt Soil Notes),Narrative,Copy1,Copy2,Copy3,Copy4,Complete Date
SL025329,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,CUNNINGHAM RESEARCH STATION,,Lenoir,AA,,0,0,0,MIN,0.22,1.3,3,71,0.9,5.7,85,39,49,15,94,66,,44,44,36,33,,,,0.1,"Tobacco, flue-cured",0.3, 50-80,0,120,0,0,0,0,0,0,,1,,,,,,,,,,,,,,,,,,,3/20/2017
SL025329,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,CUNNINGHAM RESEARCH STATION,,Lenoir,AB,,0,0,0,MIN,0.6,1.3,3.7,67,1.2,5.8,136,61,45,14,76,56,,76,76,36,37,,,,0.1,"Tobacco, flue-cured",0.3, 50-80,0,70,0,0,0,0,0,0,,1,,,,,,,,,,,,,,,,,,,3/20/2017
SL025329,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,CUNNINGHAM RESEARCH STATION,,Lenoir,AC,,0,0,0,MIN,0.86,1.23,4.9,68,1.6,5.8,201,73,46,15,56,44,,54,54,43,36,,,,0.1,"Tobacco, flue-cured",0.4, 50-80,0,60,0,0,0,0,0,0,,1,,,,,,,,,,,,,,,,,,,3/20/2017
SL025329,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,CUNNINGHAM RESEARCH STATION,,Lenoir,AD,,0,0,0,MIN,0.27,1.32,2.7,61,1,5.5,112,40,39,15,103,72,,60,60,30,30,,,,0.1,"Tobacco, flue-cured",0.5, 50-80,0,120,0,0,0,0,0,0,,1,,,,,,,,,,,,,,,,,,,3/20/2017
SL025329,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,CUNNINGHAM RESEARCH STATION,,Lenoir,AE,,0,0,0,MIN,0.22,1.28,3.2,80,0.6,6,53,63,52,17,155,102,,90,90,36,31,,,,0.1,"Tobacco, flue-cured",0, 50-80,20,70,0,0,0,0,0,0,,1,,,,,,,,,,,,,,,,,,,3/20/2017
SL025329,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,CUNNINGHAM RESEARCH STATION,,Lenoir,AF,,0,0,0,MIN,0.27,1.2,3.1,71,0.9,5.8,98,51,45,18,99,69,,57,57,37,31,,,,0.1,"Tobacco, flue-cured",0, 50-80,0,90,0,0,0,0,0,0,,1,,,,,,,,,,,,,,,,,,,3/20/2017
SL025329,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,CUNNINGHAM RESEARCH STATION,,Lenoir,AG,,0,0,0,MIN,0.32,1.27,3.9,92,0.3,6.5,80,40,64,23,56,36,,106,106,75,44,,,,0.1,"Vegetables, other",0, 80-100,50,140,0,0,0,0,0,0,,6,,,,,,,,,,,,,,,,,,,3/20/2017
SL025329,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,CUNNINGHAM RESEARCH STATION,,Lenoir,AH,,0,0,0,MIN,0.22,1.29,3.7,92,0.3,6.4,90,57,64,21,45,30,,78,78,43,38,,,,0.1,"Vegetables, other",0, 80-100,40,100,0,0,0,0,0,0,,6,,,,,,,,,,,,,,,,,,,3/20/2017
SL025329,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,CUNNINGHAM RESEARCH STATION,,Lenoir,AI,,0,0,0,MIN,0.32,1.29,3.7,81,0.7,6.3,99,37,55,20,47,34,,78,78,67,29,,,,0.1,"Vegetables, other",0, 80-100,30,140,0,0,0,0,0,0,,6,,,,,,,,,,,,,,,,,,,3/20/2017
SL025329,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,CUNNINGHAM RESEARCH STATION,,Lenoir,AJ,,0,0,0,MIN,0.22,1.26,3.5,80,0.7,6.2,93,47,53,20,56,41,,68,68,37,30,,,,0.1,"Vegetables, other",0, 80-100,30,120,0,0,0,0,0,0,,6,,,,,,,,,,,,,,,,,,,3/20/2017
