REPORT#,GROWER,ADDRESS,ADDRESS 2,CITY,STATE,ZIP,FARM ,LAYERID,COUNTY,SAMPLE ID,LAST CROP,LIME MONTH,LIME YEAR,LIME IN TONNES,SOIL CLASS,HMA RESULT,VW RESULT,CATION EXCHANGE,BASE SAT.,AC,pH,P,K,Ca,Mg,Mn,Mn Avail Crop1,Mn Avail Crop2,Zn,Zn Avail,Cu,S,SS Result,NN Result,AM Result,Na,Crop 1,LIME CROP1,NIT CROP1,PHO CROP1,POT CROP1,Mg CROP1,S CROP1,Cu CROP1,Zn CROP1,B CROP1,Mn CROP1,Comment Crop1,Note CROP1,Crop 2,LIME CROP2,NIT CROP2,PHO CROP2,POT CROP2,Mg CROP2,Cu CROP2,Zn CROP2,B CROP2,Mn CROP2,Comment Crop2,Note CROP2,Rpt CoverType (Rpt Soil Notes),Narrative,Copy1,Copy2,Copy3,Copy4,Complete Date
SL023904,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,RESSTATION,,Lenoir,AA,,0,0,0,MIN,0.22,1.28,2.9,76,0.7,5.9,48,25,52,19,191,132,,52,52,40,23,,,,0.1,"Corn, grain",0,120 - 160,30,90,0,20,0,0,0,0,,3,,0,,,,,,,,,,,,,,,,,2/12/2019
SL023904,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,RESSTATION,,Lenoir,AB,,0,0,0,MIN,0.81,1.27,4.2,67,1.4,5.6,167,54,47,14,89,70,,75,75,40,34,,,,0.1,"Corn, grain",0.6,120 - 160,0,40,0,0,0,0,0,0,,3,,0,,,,,,,,,,,,,,,,,2/12/2019
SL023904,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,RESSTATION,,Lenoir,AC,,0,0,0,MIN,0.18,1.32,2.7,64,1,5.4,171,70,39,12,96,75,,35,35,23,30,,,,0.1,"Corn, grain",0.5,120 - 160,0,10,0,0,2,0,0,0,,3,,0,,,,,,,,,,,,,,,,,2/12/2019
SL023904,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,RESSTATION,,Lenoir,AD,,0,0,0,MIN,0.18,1.28,2.6,60,1,5.4,79,43,36,16,219,148,,56,56,36,30,,,,0.1,"Corn, grain",0.5,120 - 160,0,50,0,0,0,0,0,0,,3,,0,,,,,,,,,,,,,,,,,2/12/2019
SL023904,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,RESSTATION,,Lenoir,AE,,0,0,0,MIN,0.13,1.33,2.4,73,0.6,5.9,56,42,45,19,96,75,,53,53,24,26,,,,0.1,"Corn, grain",0,120 - 160,10,50,0,0,2,0,0,0,,3,,0,,,,,,,,,,,,,,,,,2/12/2019
SL023904,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,RESSTATION,,Lenoir,AF,,0,0,0,MIN,0.27,1.24,3.7,65,1.3,5.3,120,52,38,20,90,71,,59,59,53,30,,,,0.1,"Corn, grain",0.7,120 - 160,0,40,0,0,0,0,0,0,,3,,0,,,,,,,,,,,,,,,,,2/12/2019
SL023904,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,RESSTATION,,Lenoir,AG,,0,0,0,MIN,0.13,1.25,2.6,71,0.8,5.7,63,59,42,18,83,67,,48,48,56,28,,,,0.1,"Corn, grain",0.3,120 - 160,0,30,0,0,0,0,0,0,,3,,0,,,,,,,,,,,,,,,,,2/12/2019
SL023904,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,RESSTATION,,Lenoir,AH,,0,0,0,MIN,0.32,1.26,3,67,1,5.7,124,35,44,17,75,62,,56,56,67,31,,,,0.1,"Corn, grain",0.3,120 - 160,0,70,0,0,0,0,0,0,,3,,0,,,,,,,,,,,,,,,,,2/12/2019
SL023904,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,RESSTATION,,Lenoir,AI,,0,0,0,MIN,0.36,1.25,3.4,64,1.2,5.4,93,69,39,15,82,66,,65,65,63,24,,,,0.1,"Corn, grain",0.6,120 - 160,0,20,0,20,0,0,0,0,,3,,0,,,,,,,,,,,,,,,,,2/12/2019
SL023904,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,RESSTATION,,Lenoir,AJ,,0,0,0,MIN,0.09,1.33,2.4,70,0.7,5.8,76,55,42,17,49,46,,46,46,25,20,,,,0.1,"Corn, grain",0,120 - 160,0,30,0,25,2,0,0,0,,3,,0,,,,,,,,,,,,,,,,,2/12/2019
SL023904,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,RESSTATION,,Lenoir,AK,,0,0,0,MIN,0.51,1.27,4.4,71,1.3,5.7,242,96,47,13,86,69,,85,85,61,31,,,,0.1,"Corn, grain",0.4,120 - 160,0,0,0,0,0,0,0,0,,3,,0,,,,,,,,,,,,,,,,,2/12/2019
SL023904,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,RESSTATION,,Lenoir,AL,,0,0,0,MIN,0.56,1.34,3.2,64,1.1,5.7,184,52,42,14,82,66,,55,55,46,23,,,,0.1,"Corn, grain",0.4,120 - 160,0,40,0,25,0,0,0,0,,3,,0,,,,,,,,,,,,,,,,,2/12/2019
SL023904,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,RESSTATION,,Lenoir,AM,,0,0,0,MIN,1.25,1.22,6,69,1.8,5.6,312,98,47,14,102,78,,55,55,55,39,,,,0.1,"Corn, grain",0.7,120 - 160,0,0,0,0,0,0,0,0,,3,,0,,,,,,,,,,,,,,,,,2/12/2019
SL023904,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,RESSTATION,,Lenoir,AN,,0,0,0,MIN,0.66,1.3,3.3,50,1.6,5.2,163,39,33,11,59,52,,54,54,111,34,,,,0.1,"Corn, grain",0.9,120 - 160,0,60,0,0,0,0,0,0,,3,,0,,,,,,,,,,,,,,,,,2/12/2019
SL023904,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,RESSTATION,,Lenoir,AP,,0,0,0,MIN,0.27,1.35,3.6,80,0.7,6.2,142,52,51,21,122,88,,40,40,39,20,,,,0.1,"Corn, grain",0,120 - 160,0,40,0,25,0,0,0,0,,3,,0,,,,,,,,,,,,,,,,,2/12/2019
SL023904,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,RESSTATION,,Lenoir,BA,,0,0,0,MIN,0.18,1.28,3.3,72,0.9,5.8,32,53,41,23,136,92,,88,88,28,26,,,,0.1,"Vegetables, other",0, 80-100,160,110,0,0,0,0,0,0,,6,,0,,,,,,,,,,,,,,,,,2/12/2019
SL023904,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,RESSTATION,,Lenoir,BB,,0,0,0,MIN,0.27,1.4,3,70,0.9,5.8,197,55,47,14,75,55,,62,62,27,26,,,,0.1,"Vegetables, other",0, 80-100,0,100,0,0,0,0,0,0,,6,,0,,,,,,,,,,,,,,,,,2/12/2019
SL023904,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,RESSTATION,,Lenoir,BC,,0,0,0,MIN,1.43,1.24,6.1,74,1.6,5.9,238,136,46,17,65,49,,66,66,32,41,,,,0.1,"Vegetables, other",0, 80-100,0,0,0,0,0,0,0,0,,6,,0,,,,,,,,,,,,,,,,,2/12/2019
