REPORT#,GROWER,ADDRESS,ADDRESS 2,CITY,STATE,ZIP,FARM ,LAYERID,COUNTY,SAMPLE ID,LAST CROP,LIME MONTH,LIME YEAR,LIME IN TONNES,SOIL CLASS,HMA RESULT,VW RESULT,CATION EXCHANGE,BASE SAT.,AC,pH,P,K,Ca,Mg,Mn,Mn Avail Crop1,Mn Avail Crop2,Zn,Zn Avail,Cu,S,SS Result,NN Result,AM Result,Na,Crop 1,LIME CROP1,NIT CROP1,PHO CROP1,POT CROP1,Mg CROP1,S CROP1,Cu CROP1,Zn CROP1,B CROP1,Mn CROP1,Comment Crop1,Note CROP1,Crop 2,LIME CROP2,NIT CROP2,PHO CROP2,POT CROP2,Mg CROP2,Cu CROP2,Zn CROP2,B CROP2,Mn CROP2,Comment Crop2,Note CROP2,Rpt CoverType (Rpt Soil Notes),Narrative,Copy1,Copy2,Copy3,Copy4,Complete Date
SL023897,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,N22,,0,0,0,MIN,0.36,1.24,4.8,79,1,5.9,52,100,49,20,38,33,40,28,28,57,46,,,,0.1,"Vegetables, other",0, 80-100,110,30,0,0,0,0,0,0,,6,"Corn, grain",0,120 - 160,20,0,0,0,0,0,0,,3,,,,,,,2/12/2019
SL023897,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,N25,,0,0,0,MIN,0.09,1.31,3.3,75,0.8,5.7,26,86,38,24,42,35,42,25,25,47,36,,,,0.1,"Vegetables, other",0.3, 80-100,170,40,0,0,0,$,0,0,,6,"Corn, grain",0,120 - 160,80,0,0,0,6,0,0,,3,,,,,,,2/12/2019
SL023897,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,N26,,0,0,0,MIN,0.18,1.38,2.8,75,0.7,5.8,62,88,40,19,54,42,49,28,28,73,28,,,,0.1,"Vegetables, other",0, 80-100,90,40,0,0,0,0,0,0,,6,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,,3,,,,,,,2/12/2019
SL023897,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,N27,,3,2018,0.4,MIN,0.32,1.39,3.4,79,0.7,5.9,76,93,47,18,45,37,44,38,38,54,28,,,,0.1,"Vegetables, other",0, 80-100,60,30,0,0,0,0,0,0,,6,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,,3,,,,,,,2/12/2019
SL023897,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,N28,,3,2018,0.3,MIN,1.02,1.29,5.4,76,1.3,5.8,91,102,51,16,39,33,40,37,37,72,35,,,,0.1,"Vegetables, other",0.3, 80-100,40,20,0,0,0,0,0,0,,6,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,,3,,,,,,,2/12/2019
SL023897,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,N29,,0,0,0,MIN,0.27,1.38,2.7,80,0.5,6.1,94,28,63,12,39,32,39,62,62,57,20,,,,0.1,"Vegetables, other",0, 80-100,30,170,0,25,0,0,0,0,,6,"Corn, grain",0,120 - 160,0,80,0,0,0,0,0,,3,,,,,,,2/12/2019
SL023897,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,N30,,0,0,0,MIN,0.13,1.33,3.1,74,0.8,5.8,48,105,38,19,34,30,37,39,39,60,29,,,,0.1,"Vegetables, other",0, 80-100,120,20,0,0,0,0,0,0,,6,"Corn, grain",0,120 - 160,30,0,0,0,0,0,0,,3,,,,,,,2/12/2019
SL023897,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,N31,,0,0,0,MIN,0.56,1.37,3.9,77,0.9,5.9,78,95,48,17,50,40,47,85,85,115,28,,,,0.1,"Vegetables, other",0, 80-100,60,30,0,0,0,0,0,0,,6,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,,3,,,,,,,2/12/2019
SL023897,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,N33,,0,0,0,MIN,0.46,1.38,3.7,79,0.8,6.1,56,106,45,20,29,26,33,57,57,60,26,,,,0.1,"Vegetables, other",0, 80-100,100,20,0,0,0,0,0,0,,6,"Corn, grain",0,120 - 160,10,0,0,0,0,0,0,,3,,,,,,,2/12/2019
SL023897,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,N34,,0,0,0,MIN,0.46,1.39,3.5,71,1,5.7,51,90,42,16,26,26,33,70,70,48,33,,,,0.1,"Vegetables, other",0.3, 80-100,110,40,0,0,0,0,0,0,,6,"Corn, grain",0,120 - 160,20,0,0,0,0,0,0,,3,,,,,,,2/12/2019
SL023897,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,1,,3,2018,0.4,MIN,0.6,1.33,5.6,84,0.9,6.2,229,124,57,16,107,78,71,285,285,296,54,,,,0.2,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,0,,3,"Vegetables, other",0, 80-100,0,0,0,0,0,0,0,,6,,,,,,,2/12/2019
SL023897,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,2,,0,0,0,MIN,0.18,1.33,3.3,86,0.5,6.4,122,91,51,21,87,63,56,124,124,112,40,,,,0.2,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,0,,3,"Vegetables, other",0, 80-100,0,40,0,0,0,0,0,,6,,,,,,,2/12/2019
SL023897,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,3,,3,2018,0.5,MIN,0.18,1.33,3.5,83,0.6,6.3,87,98,48,21,89,66,59,116,116,136,49,,,,0.2,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,0,,3,"Vegetables, other",0, 80-100,40,30,0,0,0,0,0,,6,,,,,,,2/12/2019
SL023897,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,4,,3,2018,0.3,MIN,0.46,1.34,4.6,83,0.8,6.2,179,124,51,19,96,71,64,166,166,124,54,,,,0.2,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,0,,3,"Vegetables, other",0, 80-100,0,0,0,0,0,0,0,,6,,,,,,,2/12/2019
SL023897,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,5,,3,2018,0.4,MIN,0.22,1.32,3.8,85,0.6,6.4,116,127,48,20,92,66,59,86,86,81,45,,,,0.2,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,0,,3,"Vegetables, other",0, 80-100,10,0,0,0,0,0,0,,6,,,,,,,2/12/2019
