REPORT#,GROWER,ADDRESS,ADDRESS 2,CITY,STATE,ZIP,FARM ,LAYERID,COUNTY,SAMPLE ID,LAST CROP,LIME MONTH,LIME YEAR,LIME IN TONNES,SOIL CLASS,HMA RESULT,VW RESULT,CATION EXCHANGE,BASE SAT.,AC,pH,P,K,Ca,Mg,Mn,Mn Avail Crop1,Mn Avail Crop2,Zn,Zn Avail,Cu,S,SS Result,NN Result,AM Result,Na,Crop 1,LIME CROP1,NIT CROP1,PHO CROP1,POT CROP1,Mg CROP1,S CROP1,Cu CROP1,Zn CROP1,B CROP1,Mn CROP1,Comment Crop1,Note CROP1,Crop 2,LIME CROP2,NIT CROP2,PHO CROP2,POT CROP2,Mg CROP2,Cu CROP2,Zn CROP2,B CROP2,Mn CROP2,Comment Crop2,Note CROP2,Rpt CoverType (Rpt Soil Notes),Narrative,Copy1,Copy2,Copy3,Copy4,Complete Date
SL023895,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,G02,,0,0,0,MIN,0.22,1.35,3,76,0.7,5.8,112,85,44,17,93,66,73,74,74,65,26,,,,0.1,"Vegetables, other",0, 80-100,10,50,0,0,0,0,0,0,,6,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,,3,,,,,,,2/13/2019
SL023895,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,G03,,0,0,0,MIN,0.36,1.33,3.3,74,0.9,5.7,218,65,50,14,117,80,87,134,134,94,28,,,,0.1,"Vegetables, other",0.3, 80-100,0,80,0,0,0,0,0,0,,6,"Corn, grain",0,120 - 160,0,20,0,0,0,0,0,,3,,,,,,,2/13/2019
SL023895,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,G04,,3,2018,0.3,MIN,0.18,1.45,2,76,0.5,6,168,34,49,19,66,49,49,110,110,42,15,,,,0.1,"Vegetables, other",0, 80-100,0,150,0,25,0,0,0,0,,6,Cantaloupe/Melons,0, 60-80,0,150,0,0,0,1,0,,6,,,,,,,2/13/2019
SL023895,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,G05,,0,0,0,MIN,0.27,1.46,2.7,73,0.7,5.8,170,60,46,15,102,71,78,104,104,50,19,,,,0.1,"Vegetables, other",0, 80-100,0,90,0,25,0,0,0,0,,6,"Corn, grain",0,120 - 160,0,30,0,0,0,0,0,,3,,,,,,,2/13/2019
SL023895,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,G06,,0,0,0,MIN,0.13,1.41,1.8,69,0.6,5.6,88,20,44,19,27,39,39,40,40,31,15,,,,0.1,Switchgrass,0, 120-160,0,90,0,25,0,0,0,0,,12,Switchgrass,0, 120-160,0,90,0,0,0,0,0,,12,,,,,,,2/13/2019
SL023895,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,G07,,0,0,0,MIN,0.18,1.4,1.9,64,0.7,5.4,137,18,44,15,32,44,44,75,75,35,17,,,,0.1,Switchgrass,0, 120-160,0,100,0,25,0,0,0,0,,12,Switchgrass,0, 120-160,0,100,0,0,0,0,0,,12,,,,,,,2/13/2019
SL023895,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,G08,,3,2018,0.3,MIN,0.22,1.4,2.4,75,0.6,5.8,181,43,50,16,90,64,64,204,204,75,19,,,,0.1,Soybean,0,0,0,50,0,25,0,0,0,0,,3,"Vegetables, other",0, 80-100,0,130,0,0,0,0,0,,6,,,,,,,2/13/2019
SL023895,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,G09,,0,0,0,MIN,0.18,1.44,2.4,68,0.8,5.5,189,55,41,15,186,129,122,120,120,56,17,,,,0.1,Sweetpotato,0.4, 60-90,0,50,0,25,0,0,0.5,0,,6,Soybean,0,0,0,30,0,0,0,0,0,,3,,,,,,,2/13/2019
SL023895,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,G10,,3,2018,0.3,MIN,0.13,1.45,1.7,74,0.4,6,158,18,47,21,120,82,82,91,91,43,13,,,,0.1,"Vegetables, other",0, 80-100,0,190,0,25,0,0,0,0,,6,Soybean,0,0,0,100,0,0,0,0,0,,3,,,,,,,2/13/2019
SL023895,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,G11,,0,0,0,MIN,0.09,1.43,1.6,62,0.6,5.3,80,22,41,14,33,,,66,66,27,14,,,,0.1,"Hardwood, M",0, 80-120,0,30,25,,0,0,,,,11,"Hardwood, M",0, 80-120,0,30,$,0,0,,,,11,,,,,,,2/13/2019
