REPORT#,GROWER,ADDRESS,ADDRESS 2,CITY,STATE,ZIP,FARM ,LAYERID,COUNTY,SAMPLE ID,LAST CROP,LIME MONTH,LIME YEAR,LIME IN TONNES,SOIL CLASS,HMA RESULT,VW RESULT,CATION EXCHANGE,BASE SAT.,AC,pH,P,K,Ca,Mg,Mn,Mn Avail Crop1,Mn Avail Crop2,Zn,Zn Avail,Cu,S,SS Result,NN Result,AM Result,Na,Crop 1,LIME CROP1,NIT CROP1,PHO CROP1,POT CROP1,Mg CROP1,S CROP1,Cu CROP1,Zn CROP1,B CROP1,Mn CROP1,Comment Crop1,Note CROP1,Crop 2,LIME CROP2,NIT CROP2,PHO CROP2,POT CROP2,Mg CROP2,Cu CROP2,Zn CROP2,B CROP2,Mn CROP2,Comment Crop2,Note CROP2,Rpt CoverType (Rpt Soil Notes),Narrative,Copy1,Copy2,Copy3,Copy4,Complete Date
SL006155,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA CASWELL RESEARCH FARM,,Lenoir,C21,,0,0,0,MIN,2.22,1.14,8.1,83,1.4,6.2,90,89,57,21,37,37,,56,56,56,52,,,,0.1,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,10/5/2017
SL006155,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA CASWELL RESEARCH FARM,,Lenoir,C22,,0,0,0,MIN,2.76,1.14,8.3,82,1.5,6,112,105,55,20,50,47,,69,69,59,51,,,,0.1,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,10/5/2017
SL006155,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA CASWELL RESEARCH FARM,,Lenoir,C23,,0,0,0,MIN,1.87,1.32,5,57,2.2,5.3,354,54,42,10,78,64,,85,85,38,60,,,,0.1,"Corn, grain",1.2,120 - 160,0,40,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,10/5/2017
SL006155,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA CASWELL RESEARCH FARM,,Lenoir,C24,,0,0,0,MIN,0.41,1.4,3.3,62,1.2,5.5,148,31,42,15,75,62,,89,89,32,51,,,,0.1,"Corn, grain",0.5,120 - 160,0,80,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,10/5/2017
SL006155,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA CASWELL RESEARCH FARM,,Lenoir,C31,,0,0,0,M-O,3.87,1.29,6.1,48,3.2,5,146,61,34,9,55,51,,193,241,56,57,,,,0.1,Soybean,1,0,0,30,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,10/5/2017
SL006155,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA CASWELL RESEARCH FARM,,Lenoir,C32,,0,0,0,MIN,3.28,1.28,5.9,46,3.2,4.9,149,84,31,9,51,41,,184,184,63,63,,,,0.1,Soybean,2,0,0,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,10/5/2017
SL006155,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA CASWELL RESEARCH FARM,,Lenoir,C33,,0,0,0,M-O,4.81,1.15,7.7,59,3.1,5.2,138,91,41,12,62,55,,174,218,82,81,,,,0.1,Soybean,0.7,0,0,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,10/5/2017
SL006155,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA CASWELL RESEARCH FARM,,Lenoir,C35,,0,0,0,ORG,7.21,1.09,8.4,48,4.3,5,223,127,33,7,54,58,,170,282,120,67,,,,0.1,Soybean,0,0,0,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,10/5/2017
SL006155,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA CASWELL RESEARCH FARM,,Lenoir,C36,,0,0,0,ORG,10,1.06,9.7,44,5.4,4.8,65,125,30,7,54,58,,153,254,43,97,,,,0.1,Soybean,0.6,0,0,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,10/5/2017
SL006155,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA CASWELL RESEARCH FARM,,Lenoir,C37,,0,0,0,ORG,9.59,1.05,10.4,58,4.4,5.2,54,126,40,12,49,52,,233,387,128,61,,,,0.1,Soybean,0,0,0,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,10/5/2017
SL006155,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA CASWELL RESEARCH FARM,,Lenoir,C38,,0,0,0,ORG,8.54,1.09,9.6,50,4.8,4.9,92,141,34,9,69,67,,193,320,142,76,,,,0.1,Soybean,0.3,0,0,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,10/5/2017
SL006155,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA CASWELL RESEARCH FARM,,Lenoir,C41,,0,0,0,MIN,2.84,1.12,9.3,80,1.8,6,180,112,55,19,27,26,,112,112,37,66,,,,0.1,Soybean,0,0,0,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,10/5/2017
SL006155,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA CASWELL RESEARCH FARM,,Lenoir,C42,,0,0,0,MIN,2.68,1.1,9.1,81,1.7,6,194,111,56,19,28,27,,123,123,35,71,,,,0.1,Soybean,0,0,0,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,10/5/2017
SL006155,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA CASWELL RESEARCH FARM,,Lenoir,C43,,0,0,0,MIN,2.76,1.12,7.7,74,2,5.7,170,114,52,15,42,35,,142,142,36,56,,,,0.1,Soybean,0.7,0,0,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,10/5/2017
SL006155,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA CASWELL RESEARCH FARM,,Lenoir,C44,,0,0,0,MIN,2.01,1.15,7.5,80,1.5,5.9,198,105,54,19,33,30,,81,81,30,59,,,,0.1,Soybean,0,0,0,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,10/5/2017
SL006155,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA CASWELL RESEARCH FARM,,Lenoir,C45,,0,0,0,MIN,1.67,1.23,5.6,77,1.3,6,142,90,52,16,26,25,,86,86,26,59,,,,0.1,Soybean,0,0,0,0,0,0,0,0,0,10,,3,,,,,,,,,,0,,,,,,,,,10/5/2017
SL006155,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA CASWELL RESEARCH FARM,,Lenoir,C46,,0,0,0,MIN,3.01,1.14,8.1,71,2.3,5.6,250,148,48,15,32,29,,85,85,35,55,,,,0.1,Soybean,0.9,0,0,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,10/5/2017
