REPORT#,GROWER,ADDRESS,ADDRESS 2,CITY,STATE,ZIP,FARM ,LAYERID,COUNTY,SAMPLE ID,LAST CROP,LIME MONTH,LIME YEAR,LIME IN TONNES,SOIL CLASS,HMA RESULT,VW RESULT,CATION EXCHANGE,BASE SAT.,AC,pH,P,K,Ca,Mg,Mn,Mn Avail Crop1,Mn Avail Crop2,Zn,Zn Avail,Cu,S,SS Result,NN Result,AM Result,Na,Crop 1,LIME CROP1,NIT CROP1,PHO CROP1,POT CROP1,Mg CROP1,S CROP1,Cu CROP1,Zn CROP1,B CROP1,Mn CROP1,Comment Crop1,Note CROP1,Crop 2,LIME CROP2,NIT CROP2,PHO CROP2,POT CROP2,Mg CROP2,Cu CROP2,Zn CROP2,B CROP2,Mn CROP2,Comment Crop2,Note CROP2,Rpt CoverType (Rpt Soil Notes),Narrative,Copy1,Copy2,Copy3,Copy4,Complete Date
SL026797,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,CUNNINGHAM RESEARCH STATION,,Lenoir,AA,,0,0,0,MIN,0.13,1.36,2.7,77,0.6,5.6,34,39,47,23,103,79,,35,35,30,39,,,,0.2,Sweetpotato,0, 60-90,80,100,0,0,0,0,0.5,0,,6,,,,,,,,,,,,,,,,,,,3/5/2018
SL026797,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,CUNNINGHAM RESEARCH STATION,,Lenoir,AB,,0,0,0,MIN,0.6,1.37,3.7,68,1.2,5.5,182,66,43,16,66,57,,63,63,38,57,,,,0.2,Sweetpotato,0.5, 60-90,0,20,0,0,0,0,0.5,0,,6,,,,,,,,,,,,,,,,,,,3/5/2018
SL026797,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,CUNNINGHAM RESEARCH STATION,,Lenoir,AC,,0,0,0,MIN,0.66,1.34,4.3,69,1.4,5.5,232,74,44,16,81,66,,65,65,47,46,,,,0.1,Sweetpotato,0.6, 60-90,0,0,0,0,0,0,0.5,0,,6,,,,,,,,,,,,,,,,,,,3/5/2018
SL026797,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,CUNNINGHAM RESEARCH STATION,,Lenoir,AD,,0,0,0,MIN,0.09,1.37,2.8,70,0.8,5.3,40,43,41,22,84,67,,27,27,29,51,,,,0.1,Sweetpotato,0.4, 60-90,60,80,0,0,0,0,0.5,0,,6,,,,,,,,,,,,,,,,,,,3/5/2018
SL026797,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,CUNNINGHAM RESEARCH STATION,,Lenoir,AE,,0,0,0,MIN,0.18,1.39,2.7,68,0.9,5.3,52,51,40,19,104,79,,47,47,31,40,,,,0.2,Sweetpotato,0.5, 60-90,30,60,0,0,0,0,0.5,0,,6,,,,,,,,,,,,,,,,,,,3/5/2018
SL026797,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,CUNNINGHAM RESEARCH STATION,,Lenoir,AF,,0,0,0,MIN,0.27,1.34,2.6,58,1.1,5.1,108,46,33,15,95,74,,61,61,44,33,,,,0.2,Sweetpotato,0.7, 60-90,0,70,0,0,0,0,0.5,0,,6,,,,,,,,,,,,,,,,,,,3/5/2018
SL026797,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,CUNNINGHAM RESEARCH STATION,,Lenoir,BA,,0,0,0,MIN,0.18,1.33,2.6,69,0.8,5.5,35,50,44,16,85,68,,53,53,23,40,,,,0.2,Sweetpotato,0.4, 60-90,80,60,0,0,$,0,0.5,0,,6,,,,,,,,,,,,,,,,,,,3/5/2018
SL026797,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,CUNNINGHAM RESEARCH STATION,,Lenoir,BB,,0,0,0,MIN,0.32,1.45,2.7,62,1,5.4,207,35,42,14,83,67,,66,66,48,35,,,,0.2,Sweetpotato,0.5, 60-90,0,110,0,0,0,0,0.5,0,,6,,,,,,,,,,,,,,,,,,,3/5/2018
SL026797,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,CUNNINGHAM RESEARCH STATION,,Lenoir,BC,,0,0,0,MIN,0.66,1.35,3.9,64,1.4,5.5,266,59,41,16,70,59,,58,58,39,49,,,,0.2,Sweetpotato,0.6, 60-90,0,40,0,0,0,0,0.5,0,,6,,,,,,,,,,,,,,,,,,,3/5/2018
SL026797,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,CUNNINGHAM RESEARCH STATION,,Lenoir,CA,,0,0,0,MIN,0.46,1.34,3.6,72,1,5.7,180,73,47,15,49,46,,40,40,43,34,,,,0.2,"Corn, grain",0.3,120 - 160,0,10,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,3/5/2018
