REPORT#,GROWER,ADDRESS,ADDRESS 2,CITY,STATE,ZIP,FARM ,LAYERID,COUNTY,SAMPLE ID,LAST CROP,LIME MONTH,LIME YEAR,LIME IN TONNES,SOIL CLASS,HMA RESULT,VW RESULT,CATION EXCHANGE,BASE SAT.,AC,pH,P,K,Ca,Mg,Mn,Mn Avail Crop1,Mn Avail Crop2,Zn,Zn Avail,Cu,S,SS Result,NN Result,AM Result,Na,Crop 1,LIME CROP1,NIT CROP1,PHO CROP1,POT CROP1,Mg CROP1,S CROP1,Cu CROP1,Zn CROP1,B CROP1,Mn CROP1,Comment Crop1,Note CROP1,Crop 2,LIME CROP2,NIT CROP2,PHO CROP2,POT CROP2,Mg CROP2,Cu CROP2,Zn CROP2,B CROP2,Mn CROP2,Comment Crop2,Note CROP2,Rpt CoverType (Rpt Soil Notes),Narrative,Copy1,Copy2,Copy3,Copy4,Complete Date
SL014819,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA Caswell Research Farm,,Lenoir,A31,,0,0,0,MIN,0.6,1.32,3.4,61,1.3,5.4,188,29,44,13,56,51,,76,76,45,37,,,,0.2,Sweetpotato,0.7, 60-90,0,130,0,0,0,0,0.5,0,,6,,,,,,,,,,,,,,,,,,,12/6/2017
SL014819,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA Caswell Research Farm,,Lenoir,A32,,0,0,0,MIN,0.46,1.21,3.8,59,1.6,5.2,156,74,38,12,51,48,,106,106,69,45,,,,0.2,Sweetpotato,0.9, 60-90,0,0,0,0,0,0,0.5,0,,6,,,,,,,,,,,,,,,,,,,12/6/2017
SL014819,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA Caswell Research Farm,,Lenoir,A33,,0,0,0,MIN,0.51,1.23,5.1,84,0.8,6.1,191,69,57,19,56,49,,130,130,73,40,,,,0.2,Sweetpotato,0, 60-90,0,10,0,0,0,0,0.5,0,,6,,,,,,,,,,,,,,,,,,,12/6/2017
SL014819,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA Caswell Research Farm,,Lenoir,A34,,0,0,0,MIN,0.56,1.24,5.8,81,1.1,6,338,58,62,15,73,61,,194,194,116,39,,,,0.2,Sweetpotato,0, 60-90,0,40,0,0,0,0,0.5,0,,6,,,,,,,,,,,,,,,,,,,12/6/2017
SL014819,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA Caswell Research Farm,,Lenoir,A35,,0,0,0,MIN,0.92,1.3,7.9,91,0.7,6.6,505,43,73,15,62,46,,305,305,140,46,,,,0.2,Sweetpotato,0, 60-90,0,80,0,0,0,0,0.5,pH$,,6,,,,,,,,,,,,,,,,,,,12/6/2017
SL014819,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA Caswell Research Farm,,Lenoir,A36,,0,0,0,MIN,0.6,1.26,5.3,83,0.9,6.2,302,41,64,15,89,68,,201,201,92,38,,,,0.2,Sweetpotato,0, 60-90,0,90,0,0,0,0,0.5,0,,6,,,,,,,,,,,,,,,,,,,12/6/2017
SL014819,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA Caswell Research Farm,,Lenoir,A37,,0,0,0,MIN,0.66,1.35,4,63,1.5,5.5,338,56,45,11,60,53,,109,109,81,42,,,,0.2,Sweetpotato,0.7, 60-90,0,40,0,0,0,0,0.5,0,,6,,,,,,,,,,,,,,,,,,,12/6/2017
SL014819,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA Caswell Research Farm,,Lenoir,A38,,0,0,0,MIN,0.76,1.25,3.6,57,1.5,5.2,202,98,34,10,28,34,,66,66,64,49,,,,0.2,Sweetpotato,0.9, 60-90,0,0,0,0,0,0,0.5,0,,6,,,,,,,,,,,,,,,,,,,12/6/2017
SL014819,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA Caswell Research Farm,,Lenoir,A39,,0,0,0,MIN,0.81,1.3,4.1,65,1.4,5.6,225,55,43,15,40,41,,55,55,47,45,,,,0.2,Sweetpotato,0.6, 60-90,0,50,0,0,0,0,0.5,0,,6,,,,,,,,,,,,,,,,,,,12/6/2017
SL014819,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA Caswell Research Farm,,Lenoir,A310,,0,0,0,MIN,0.76,1.29,4.3,62,1.6,5.4,306,66,45,9,53,49,,133,133,153,58,,,,0.2,Sweetpotato,0.8, 60-90,0,20,25,0,0,0,0.5,0,,6,,,,,,,,,,,,,,,,,,,12/6/2017
