REPORT#,GROWER,ADDRESS,ADDRESS 2,CITY,STATE,ZIP,FARM ,LAYERID,COUNTY,SAMPLE ID,LAST CROP,LIME MONTH,LIME YEAR,LIME IN TONNES,SOIL CLASS,HMA RESULT,VW RESULT,CATION EXCHANGE,BASE SAT.,AC,pH,P,K,Ca,Mg,Mn,Mn Avail Crop1,Mn Avail Crop2,Zn,Zn Avail,Cu,S,SS Result,NN Result,AM Result,Na,Crop 1,LIME CROP1,NIT CROP1,PHO CROP1,POT CROP1,Mg CROP1,S CROP1,Cu CROP1,Zn CROP1,B CROP1,Mn CROP1,Comment Crop1,Note CROP1,Crop 2,LIME CROP2,NIT CROP2,PHO CROP2,POT CROP2,Mg CROP2,Cu CROP2,Zn CROP2,B CROP2,Mn CROP2,Comment Crop2,Note CROP2,Rpt CoverType (Rpt Soil Notes),Narrative,Copy1,Copy2,Copy3,Copy4,Complete Date
SL022821,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,CUNNINGHAM RESEARCH STATION,,Lenoir,LC11,,0,0,0,MIN,0.81,1.17,5.3,74,1.4,5.9,68,85,48,18,97,75,,81,81,42,49,,,,0.1,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,2/8/2017
SL022821,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,CUNNINGHAM RESEARCH STATION,,Lenoir,LC12,,0,0,0,MIN,0.51,1.21,4.7,85,0.7,6.4,54,73,56,21,115,80,,48,48,34,33,,,,0.1,"Corn, grain",0,120 - 160,20,10,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,2/8/2017
SL022821,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,CUNNINGHAM RESEARCH STATION,,Lenoir,LC13,,0,0,0,MIN,1.61,1.22,5.1,57,2.2,5.3,81,85,38,11,97,75,,100,100,35,55,,,,0.1,"Corn, grain",1.2,120 - 160,0,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,2/8/2017
SL022821,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,CUNNINGHAM RESEARCH STATION,,Lenoir,LC14,,0,0,0,MIN,1.8,1.12,7,73,1.9,5.6,188,111,51,15,131,96,,104,104,46,49,,,,0.1,"Corn, grain",0.8,120 - 160,0,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,2/8/2017
SL022821,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,CUNNINGHAM RESEARCH STATION,,Lenoir,LC15,,0,0,0,MIN,2.37,1.07,8.7,81,1.6,5.9,73,112,55,20,89,70,,185,185,60,44,,,,0.1,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,2/8/2017
SL022821,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,CUNNINGHAM RESEARCH STATION,,Lenoir,LC81,,0,0,0,MIN,0.41,1.25,3.2,53,1.5,5.3,151,54,33,11,145,104,,210,210,41,37,,,,0.1,"Corn, grain",0.8,120 - 160,0,40,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,2/8/2017
SL022821,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,CUNNINGHAM RESEARCH STATION,,Lenoir,LC82,,0,0,0,MIN,0.18,1.16,3.9,77,0.9,5.8,47,80,42,25,127,93,,75,75,44,33,,,,0.1,"Corn, grain",0,120 - 160,30,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,2/8/2017
SL022821,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,CUNNINGHAM RESEARCH STATION,,Lenoir,LC83,,0,0,0,MIN,0.18,1.25,3.2,75,0.8,5.9,51,47,44,24,91,72,,87,87,40,28,,,,0.1,"Corn, grain",0,120 - 160,20,50,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,2/8/2017
SL022821,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,CUNNINGHAM RESEARCH STATION,,Lenoir,LC101,,0,0,0,MIN,1.14,1.16,7.6,81,1.4,6,295,89,59,17,99,76,,203,203,116,43,,,,0.1,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,2/8/2017
SL022821,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,CUNNINGHAM RESEARCH STATION,,Lenoir,LC102,,0,0,0,MIN,0.81,1.22,7.1,81,1.4,6,303,74,59,17,78,63,,135,135,120,39,,,,0.1,"Corn, grain",0,120 - 160,0,10,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,2/8/2017
