REPORT#,GROWER,ADDRESS,ADDRESS 2,CITY,STATE,ZIP,FARM ,LAYERID,COUNTY,SAMPLE ID,LAST CROP,LIME MONTH,LIME YEAR,LIME IN TONNES,SOIL CLASS,HMA RESULT,VW RESULT,CATION EXCHANGE,BASE SAT.,AC,pH,P,K,Ca,Mg,Mn,Mn Avail Crop1,Mn Avail Crop2,Zn,Zn Avail,Cu,S,SS Result,NN Result,AM Result,Na,Crop 1,LIME CROP1,NIT CROP1,PHO CROP1,POT CROP1,Mg CROP1,S CROP1,Cu CROP1,Zn CROP1,B CROP1,Mn CROP1,Comment Crop1,Note CROP1,Crop 2,LIME CROP2,NIT CROP2,PHO CROP2,POT CROP2,Mg CROP2,Cu CROP2,Zn CROP2,B CROP2,Mn CROP2,Comment Crop2,Note CROP2,Rpt CoverType (Rpt Soil Notes),Narrative,Copy1,Copy2,Copy3,Copy4,Complete Date
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,R01,,0,0,0,MIN,0.51,1.19,5.9,80,1.2,5.7,38,136,50,19,39,33,40,47,47,75,75,,,,0.1,"Vegetables, other",0.4, 80-100,140,0,0,0,0,0,0,0,,6,Sweetpotato,0, 60-90,70,0,0,0,0,0.5,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,r02,,3,2019,0.3,MIN,0.6,1.27,6.3,81,1.2,5.8,56,133,53,18,45,37,44,56,56,52,58,,,,0.1,"Vegetables, other",0, 80-100,100,0,0,0,0,0,0,0,,6,Sweetpotato,0, 60-90,20,0,0,0,0,0.5,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,R03,,3,2019,0.4,MIN,0.51,1.29,5.7,82,1,5.9,59,136,51,19,43,36,43,59,59,52,92,,,,0.1,"Vegetables, other",0, 80-100,90,0,0,0,0,0,0,0,,6,Sweetpotato,0, 60-90,20,0,0,0,0,0.5,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,RO6,,0,0,0,MIN,0.36,1.3,4.7,78,1,5.8,60,108,47,19,49,39,46,61,61,51,48,,,,0.1,"Vegetables, other",0.3, 80-100,90,20,0,0,0,0,0,0,,6,Sweetpotato,0, 60-90,20,0,0,0,0,0.5,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,R07,,3,2019,0.5,MIN,0.41,1.3,5.5,80,1.1,5.9,46,133,48,20,46,38,45,39,39,58,73,,,,0.1,"Vegetables, other",0, 80-100,120,0,0,0,0,0,0,0,,6,Sweetpotato,0, 60-90,50,0,0,0,0,0.5,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,R08,,0,0,0,MIN,0.36,1.28,5.6,82,1,5.9,34,128,49,22,31,29,36,32,32,36,159,,,,0.1,"Vegetables, other",0, 80-100,150,0,0,0,0,0,0,0,,6,Sweetpotato,0, 60-90,80,0,0,0,0,0.5,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,R09,,0,0,0,MIN,0.66,1.27,7.1,83,1.2,6,53,160,50,21,34,30,37,31,31,44,150,,,,0.1,"Vegetables, other",0, 80-100,110,0,0,0,0,0,0,0,,6,Sweetpotato,0, 60-90,30,0,0,0,0,0.5,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,R12,,0,0,0,MIN,1.19,1.24,6.2,84,1,6,67,110,55,20,44,43,36,43,43,59,74,,,,0.1,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,0,,3,"Vegetables, other",0, 80-100,80,10,0,0,0,0,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,R15,,0,0,0,MIN,0.86,1.33,5.3,81,1,5.9,69,103,52,19,34,37,30,65,65,50,54,,,,0.1,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,0,,3,"Vegetables, other",0, 80-100,70,20,0,0,0,0,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,R16,,0,0,0,MIN,2.76,1.28,9,84,1.4,6,145,141,54,22,40,41,34,74,74,63,86,,,,0.1,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,0,,3,"Vegetables, other",0, 80-100,0,0,0,0,0,0,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,R19,,3,2019,0.3,M-O,3.67,1.2,8.8,74,2.3,5.6,126,138,47,19,41,48,41,65,81,44,84,,,,0.2,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,0,,3,"Vegetables, other",0, 80-100,0,0,0,0,0,0,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,R20,,0,0,0,MIN,2.29,1.27,8,85,1.2,6.1,109,140,54,21,38,38,31,51,51,50,100,,,,0.2,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,0,,3,"Vegetables, other",0, 80-100,10,0,0,0,0,0,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,R21,,0,0,0,MIN,2.29,1.25,8.2,80,1.6,5.7,92,140,51,20,39,40,40,79,79,49,106,,,,0.2,Sweetpotato,0.5, 60-90,0,0,0,0,0,0,0.5,0,,6,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,,3,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,R22,,0,0,0,MIN,1.37,1.28,6.4,84,1,6,78,126,54,20,39,40,40,57,57,51,89,,,,0.2,Sweetpotato,0, 60-90,0,0,0,0,0,0,0.5,0,,6,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,,3,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,K04,,0,0,0,MIN,0.32,1.31,3.4,88,0.4,6.5,74,101,55,18,58,44,37,58,58,82,45,,,,0.2,Sweetpotato,0, 60-90,0,0,0,0,0,0,0.5,0,,6,"Vegetables, other",0, 80-100,60,20,0,0,0,0,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,K05,,0,0,0,MIN,0.41,1.35,3.8,83,0.6,6.1,147,116,53,15,98,74,67,87,87,161,52,,,,0.2,Sweetpotato,0, 60-90,0,0,0,0,0,0,0.5,0,,6,"Vegetables, other",0, 80-100,0,10,0,0,0,0,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,K06,,0,0,0,MIN,0.6,1.36,3.9,81,0.8,6,249,78,59,12,122,90,83,121,121,148,50,,,,0.2,Sweetpotato,0, 60-90,0,0,0,0,0,0,0.5,0,,6,"Vegetables, other",0, 80-100,0,60,0,0,0,0,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,K07,,0,0,0,MIN,0.32,1.36,3.4,83,0.6,6.1,219,61,55,19,95,73,66,126,126,54,38,,,,0.1,Sweetpotato,0, 60-90,0,30,0,0,0,0,0.5,0,,6,"Vegetables, other",0, 80-100,0,90,0,0,0,0,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,K08,,0,0,0,MIN,0.27,1.36,3.1,79,0.6,5.9,211,73,54,14,74,61,54,120,120,48,41,,,,0.1,Sweetpotato,0, 60-90,0,0,0,0,0,0,0.5,0,,6,"Vegetables, other",0, 80-100,0,70,0,0,0,0,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,K09,,0,0,0,MIN,0.18,1.33,3.4,86,0.5,6.4,57,106,49,22,44,37,30,43,43,60,44,,,,0.1,Sweetpotato,0, 60-90,20,0,0,0,0,0,0.5,0,,6,"Vegetables, other",0, 80-100,100,20,0,0,0,0,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,K13,,0,0,0,MIN,0.41,1.36,3.7,86,0.5,6.3,161,76,59,17,103,67,74,104,104,74,44,,,,0.2,"Vegetables, other",0, 80-100,0,60,0,0,0,0,0,0,,6,Sweetpotato,0, 60-90,0,0,0,0,0,0.5,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,K14,,0,0,0,MIN,0.41,1.31,3.7,85,0.6,6.3,212,79,58,17,112,73,80,85,85,100,55,,,,0.2,"Vegetables, other",0, 80-100,0,60,0,0,0,0,0,0,,6,Sweetpotato,0, 60-90,0,0,0,0,0,0.5,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,K15,,0,0,0,MIN,0.36,1.34,3.2,79,0.7,5.9,207,73,55,12,103,72,79,132,132,98,53,,,,0.2,"Vegetables, other",0, 80-100,0,70,0,0,0,0,0,0,,6,Sweetpotato,0, 60-90,0,0,0,0,0,0.5,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,K16,,0,0,0,MIN,0.22,1.33,3.3,84,0.5,6.3,116,90,51,20,72,49,56,58,58,73,49,,,,0.2,"Vegetables, other",0, 80-100,10,40,0,0,0,0,0,0,,6,Sweetpotato,0, 60-90,0,0,0,0,0,0.5,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,K17,,0,0,0,MIN,0.27,1.39,4.3,83,0.7,6.1,81,91,50,22,65,48,55,46,46,56,47,,,,0.3,"Vegetables, other",0, 80-100,50,40,0,0,0,0,0,0,,6,Sweetpotato,0, 60-90,0,0,0,0,0,0.5,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,K18,,0,0,0,MIN,0.22,1.34,4,85,0.6,6.2,44,69,54,22,46,35,42,30,30,55,42,,,,0.2,"Vegetables, other",0, 80-100,130,70,0,0,0,0,0,0,,6,Sweetpotato,0, 60-90,50,10,0,0,0,0.5,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,K22,,0,0,0,MIN,0.6,1.41,4.2,84,0.7,6.1,215,50,59,18,116,79,86,82,82,76,42,,,,0.1,"Vegetables, other",0, 80-100,0,110,0,0,0,0,0,0,,6,Sweetpotato,0, 60-90,0,60,0,0,0,0.5,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,K23,,0,0,0,MIN,0.51,1.41,3.4,75,0.8,5.7,226,46,53,16,102,71,78,87,87,95,39,,,,0.1,"Vegetables, other",0.3, 80-100,0,120,0,0,0,0,0,0,,6,Sweetpotato,0, 60-90,0,70,0,0,0,0.5,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,K24,,0,0,0,MIN,0.27,1.43,2.7,73,0.7,5.5,181,32,53,14,68,51,58,68,68,67,34,,,,0.1,"Vegetables, other",0.3, 80-100,0,160,0,0,0,0,0,0,,6,Sweetpotato,0, 60-90,0,120,0,0,0,0.5,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,K25,,0,0,0,MIN,0.13,1.36,3.4,78,0.7,5.9,58,90,46,19,51,41,48,37,37,46,36,,,,0.2,"Vegetables, other",0, 80-100,100,40,0,0,0,0,0,0,,6,Sweetpotato,0, 60-90,20,0,0,0,0,0.5,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,K26,,0,0,0,MIN,0.71,1.34,5.3,81,1,5.9,145,89,55,18,101,71,78,82,82,86,49,,,,0.2,"Vegetables, other",0, 80-100,0,40,0,0,0,0,0,0,,6,Sweetpotato,0, 60-90,0,0,0,0,0,0.5,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,K27,,0,0,0,MIN,0.81,1.36,5.3,83,0.9,6.1,159,86,54,21,106,73,80,64,64,70,48,,,,0.2,"Vegetables, other",0, 80-100,0,40,0,0,0,0,0,0,,6,Sweetpotato,0, 60-90,0,0,0,0,0,0.5,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,12,,3,2019,0.3,MIN,0.36,1.35,3.4,76,0.8,5.7,133,74,51,14,80,58,65,80,80,81,42,,,,0.1,Soybean,0,0,0,10,0,0,0,0,0,0,,3,Sweetpotato,0, 60-90,0,0,0,0,0,0.5,0,,6,,,,,,,1/28/2020
SL022703,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,,,Sampson,13,,0,0,0,MIN,0.36,1.29,5.2,79,1.1,5.9,36,119,48,20,27,26,33,33,33,40,99,,,,0.1,Soybean,0,0,50,0,0,0,0,0,0,0,,3,Sweetpotato,0, 60-90,70,0,0,0,0,0.5,0,,6,,,,,,,1/28/2020
